atom x[N] y[N] z[N]
357 -4.69628e-13 -2.1085e-12 -2.81732e-12 
358 -4.71004e-13 -2.11472e-12 -2.8108e-12 
359 -4.64428e-13 -2.1288e-12 -2.83256e-12 
360 -4.73754e-13 -2.13502e-12 -2.84668e-12 
361 -4.75127e-13 -2.13319e-12 -2.84841e-12 
362 -4.76502e-13 -2.13942e-12 -2.84188e-12 
363 -4.69927e-13 -2.15349e-12 -2.86363e-12 
364 -4.79251e-13 -2.15971e-12 -2.87775e-12 
365 -4.80624e-13 -2.15788e-12 -2.87948e-12 
366 -4.81998e-13 -2.16411e-12 -2.87294e-12 
367 -4.75424e-13 -2.17817e-12 -2.8947e-12 
368 -4.84747e-13 -2.18439e-12 -2.90881e-12 
369 -4.86119e-13 -2.18256e-12 -2.91054e-12 
370 -4.87493e-13 -2.18878e-12 -2.904e-12 
371 -4.80919e-13 -2.20284e-12 -2.92575e-12 
372 -4.9024e-13 -2.20906e-12 -2.93986e-12 
373 -4.91611e-13 -2.20723e-12 -2.94159e-12 
374 -4.92985e-13 -2.21345e-12 -2.93504e-12 
375 -4.86411e-13 -2.22751e-12 -2.95679e-12 
376 -4.95731e-13 -2.23372e-12 -2.9709e-12 
377 -4.97102e-13 -2.23189e-12 -2.97263e-12 
378 -4.98475e-13 -2.23811e-12 -2.96608e-12 
379 -4.91902e-13 -2.25216e-12 -2.98781e-12 
380 -5.0122e-13 -2.25838e-12 -3.00193e-12 
381 -5.02591e-13 -2.25654e-12 -3.00365e-12 
382 -5.03964e-13 -2.26275e-12 -2.99709e-12 
383 -4.97392e-13 -2.27681e-12 -3.01883e-12 
384 -5.0671e-13 -2.28302e-12 -3.03294e-12 
385 -5.08083e-13 -2.28118e-12 -3.03466e-12 
386 -5.09457e-13 -2.28739e-12 -3.0281e-12 
387 -5.02887e-13 -2.30144e-12 -3.04983e-12 
388 -5.12209e-13 -2.30765e-12 -3.06395e-12 
389 -5.13602e-13 -2.30581e-12 -3.06566e-12 
390 -5.14997e-13 -2.31202e-12 -3.0591e-12 
391 -5.08433e-13 -2.32607e-12 -3.08082e-12 
392 -5.17842e-13 -2.33228e-12 -3.09495e-12 
