atom x[m] y[m] z[m]
377 2.565e-09 1.995e-09 1.71e-09 
378 2.565e-09 1.71e-09 1.995e-09 
379 2.28e-09 1.995e-09 1.995e-09 
380 0 2.28e-09 1.71e-09 
381 2.85e-10 2.565e-09 1.71e-09 
382 2.85e-10 2.28e-09 1.995e-09 
383 0 2.565e-09 1.995e-09 
384 5.7e-10 2.28e-09 1.71e-09 
385 8.55e-10 2.565e-09 1.71e-09 
386 8.55e-10 2.28e-09 1.995e-09 
387 5.7e-10 2.565e-09 1.995e-09 
388 1.14e-09 2.28e-09 1.71e-09 
389 1.425e-09 2.565e-09 1.71e-09 
390 1.425e-09 2.28e-09 1.995e-09 
391 1.14e-09 2.565e-09 1.995e-09 
392 1.71e-09 2.28e-09 1.71e-09 
393 1.995e-09 2.565e-09 1.71e-09 
394 1.995e-09 2.28e-09 1.995e-09 
395 1.71e-09 2.565e-09 1.995e-09 
396 2.28e-09 2.28e-09 1.71e-09 
397 2.565e-09 2.565e-09 1.71e-09 
398 2.565e-09 2.28e-09 1.995e-09 
399 2.28e-09 2.565e-09 1.995e-09 
400 0 0 2.28e-09 
401 2.85e-10 2.85e-10 2.28e-09 
402 2.85e-10 0 2.565e-09 
403 0 2.85e-10 2.565e-09 
404 5.7e-10 0 2.28e-09 
405 8.55e-10 2.85e-10 2.28e-09 
406 8.55e-10 0 2.565e-09 
407 5.7e-10 2.85e-10 2.565e-09 
408 1.14e-09 0 2.28e-09 
409 1.425e-09 2.85e-10 2.28e-09 
410 1.425e-09 0 2.565e-09 
411 1.14e-09 2.85e-10 2.565e-09 
412 1.71e-09 0 2.28e-09 
413 1.995e-09 2.85e-10 2.28e-09 
414 1.995e-09 0 2.565e-09 
415 1.71e-09 2.85e-10 2.565e-09 
416 2.28e-09 0 2.28e-09 
417 2.565e-09 2.85e-10 2.28e-09 
418 2.565e-09 0 2.565e-09 
419 2.28e-09 2.85e-10 2.565e-09 
420 0 5.7e-10 2.28e-09 
421 2.85e-10 8.55e-10 2.28e-09 
422 2.85e-10 5.7e-10 2.565e-09 
423 0 8.55e-10 2.565e-09 
424 5.7e-10 5.7e-10 2.28e-09 
425 8.55e-10 8.55e-10 2.28e-09 
426 8.55e-10 5.7e-10 2.565e-09 
427 5.7e-10 8.55e-10 2.565e-09 
428 1.14e-09 5.7e-10 2.28e-09 
429 1.425e-09 8.55e-10 2.28e-09 
430 1.425e-09 5.7e-10 2.565e-09 
431 1.14e-09 8.55e-10 2.565e-09 
432 1.71e-09 5.7e-10 2.28e-09 
433 1.995e-09 8.55e-10 2.28e-09 
434 1.995e-09 5.7e-10 2.565e-09 
435 1.71e-09 8.55e-10 2.565e-09 
436 2.28e-09 5.7e-10 2.28e-09 
437 2.565e-09 8.55e-10 2.28e-09 
438 2.565e-09 5.7e-10 2.565e-09 
