# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
34700 1969.18 135245 88883.7 -18758.3 1354.9
34800 1983.03 134228 88890.2 -18771.9 1364.43
34900 1980.19 134343 88896.7 -18773.8 1362.47
35000 1974.87 134169 88903.2 -18773.8 1358.81
35100 2009.74 133091 88909.7 -18801.1 1382.81
35200 1976.69 133655 88916.3 -18781.5 1360.07
35300 1965.86 133182 88922.8 -18777 1352.62
35400 1962.85 133628 88929.4 -18777.5 1350.54
35500 1975.42 132980 88936 -18788.3 1359.19
35600 1978.58 132770 88942.5 -18792.2 1361.37
35700 1954.85 133034 88949.2 -18777 1345.04
35800 1987.97 131895 88955.8 -18800.5 1367.83
35900 1937.92 134079 88962.4 -18766.3 1333.39
36000 1982.89 132840 88969.1 -18796.8 1364.33
36100 1962.9 132865 88975.7 -18782.2 1350.58
36200 1960.55 132903 88982.4 -18779.4 1348.96
36300 1965.93 132874 88989.1 -18781.4 1352.66
36400 1963.69 132868 88995.8 -18777.6 1351.12
36500 1955.51 133397 89002.5 -18769.3 1345.49
36600 1984.01 132847 89009.3 -18785.9 1365.1
36700 1997.19 132532 89016 -18791.7 1374.17
36800 1999.92 132446 89022.8 -18790.2 1376.05
36900 1982.62 133576 89029.6 -18774.6 1364.15
37000 1994.77 132639 89036.4 -18779.3 1372.51
37100 1975.48 133897 89043.2 -18762.5 1359.24
37200 2013.41 132815 89050 -18784.9 1385.33
37300 1996.95 133395 89056.8 -18770 1374
37400 1986.68 134277 89063.7 -18759.1 1366.94
37500 2011.21 133589 89070.5 -18772.2 1383.81
37600 1975.95 134293 89077.4 -18744.2 1359.56
37700 1980.95 134177 89084.3 -18744 1362.99
37800 2020.9 132594 89091.2 -18767.8 1390.49
37900 2000.36 134085 89098.1 -18750.3 1376.35
38000 2035.57 132827 89105 -18771.4 1400.58
38100 2028.94 133538 89111.9 -18764 1396.02
38200 2007.68 134342 89118.9 -18747 1381.39
38300 2030.18 133483 89125.8 -18760.3 1396.87
38400 2037.58 132891 89132.8 -18763.4 1401.96
38500 2038.53 133152 89139.8 -18762.5 1402.61
38600 2053.25 132804 89146.8 -18771.4 1412.74
38700 2028.11 133345 89153.8 -18753.5 1395.44
38800 2041.72 133168 89160.8 -18762.9 1404.81
38900 2024.76 133535 89167.8 -18751.9 1393.14
39000 2014.64 133696 89174.9 -18745.9 1386.18
39100 2022.68 133167 89181.9 -18752.7 1391.71
39200 2021.43 133355 89189 -18753.4 1390.85
39300 2019.71 133580 89196.1 -18754.2 1389.66
39400 2037.04 132626 89203.2 -18768.5 1401.59
39500 2056.24 131850 89210.3 -18784.4 1414.8
39600 2049.73 132228 89217.4 -18782.9 1410.32
39700 2021.46 132137 89224.5 -18766.8 1390.87
39800 2007.52 132601 89231.6 -18760.8 1381.28
39900 1995.89 132703 89238.8 -18756.6 1373.28
40000 2014.12 131800 89245.9 -18773.2 1385.82
40100 2000.78 131896 89245.9 -18764.1 1376.64
40200 2005.4 131628 89246 -18767.8 1379.82
40300 2009.11 131967 89246 -18771.1 1382.37
40400 2007.81 132046 89246.1 -18771.3 1381.47
40500 1991.15 132080 89246.2 -18761.3 1370.01
40600 2013.01 131225 89246.3 -18778.3 1385.06
40700 1982.53 132072 89246.5 -18759.8 1364.08
40800 2026.5 130890 89246.6 -18792.9 1394.34
40900 2019.11 130488 89246.8 -18791.4 1389.25
41000 1993.21 131602 89247 -18778 1371.43
41100 2004.77 130914 89247.2 -18791 1379.39
41200 1982.7 131508 89247.5 -18781.2 1364.2
41300 2004.45 130786 89247.7 -18801.4 1379.16
41400 1963.54 132137 89248 -18778.2 1351.02
41500 1988.62 130655 89248.3 -18799.6 1368.27
41600 1979.86 130232 89248.7 -18797.1 1362.24
41700 1991.25 129912 89249 -18807.9 1370.08
41800 1965.05 130615 89249.4 -18792.8 1352.06
41900 1962.73 130035 89249.8 -18793.8 1350.46
42000 1969.62 130622 89250.2 -18801.3 1355.2
42100 1941.92 130705 89250.6 -18785 1336.14
42200 1942.22 130049 89251.1 -18788.2 1336.35
42300 1949.77 130300 89251.6 -18796.7 1341.54
42400 1953.21 129825 89252.1 -18802.6 1343.91
42500 1954.11 129475 89252.6 -18807.2 1344.53
42600 1940.83 129736 89253.1 -18802.3 1335.39
42700 1952.36 129346 89253.7 -18814.9 1343.33
42800 1914.17 129334 89254.3 -18793.2 1317.05
42900 1931.34 129139 89254.9 -18809.8 1328.86
43000 1913.28 129520 89255.5 -18802.4 1316.44
43100 1916.7 129395 89256.2 -18809.8 1318.79
43200 1936.84 128185 89256.8 -18828.9 1332.64
43300 1933.78 127955 89257.5 -18832.2 1330.54
43400 1910.9 128413 89258.2 -18821.7 1314.8
43500 1899.99 128713 89259 -18819.4 1307.29
43600 1919.07 127491 89259.7 -18837.7 1320.42
43700 1886.97 128589 89260.5 -18820.6 1298.33
43800 1890.04 127725 89261.3 -18827.7 1300.45
43900 1905.15 127296 89262.1 -18843.3 1310.84
44000 1877.62 128066 89262.9 -18829.6 1291.9
44100 1882.8 127154 89263.8 -18838.5 1295.46
44200 1889.54 126244 89264.7 -18848.4 1300.1
44300 1892.88 126414 89265.6 -18856 1302.4
44400 1885.21 126498 89266.5 -18856 1297.13
44500 1880.67 126276 89267.4 -18858.2 1294
44600 1891.15 125414 89268.4 -18871 1301.21
44700 1894.86 124802 89269.4 -18879.2 1303.76
44800 1839.12 126677 89270.4 -18846.7 1265.41
44900 1859.3 125249 89271.4 -18866.5 1279.3
45000 1850.32 125514 89272.4 -18866.1 1273.11
45100 1865.42 124624 89273.5 -18882.4 1283.5
45200 1822.13 125653 89274.6 -18858.3 1253.72
45300 1860.46 124571 89275.7 -18890.5 1280.1
45400 1827.25 124984 89276.8 -18873.4 1257.24
45500 1828.82 124825 89277.9 -18880.4 1258.32
45600 1855.56 123545 89279.1 -18904.7 1276.72
45700 1846.77 122938 89280.3 -18904.7 1270.68
45800 1817.12 123838 89281.5 -18890.5 1250.27
45900 1829.79 123122 89282.7 -18905.3 1258.99
46000 1813.13 123193 89284 -18899.9 1247.53
46100 1825.01 122683 89285.2 -18914.1 1255.7
46200 1794.01 123294 89286.5 -18898.8 1234.37
46300 1816.5 122752 89287.8 -18920.2 1249.85
46400 1800.81 122559 89289.1 -18915.3 1239.05
46500 1783.58 122499 89290.5 -18909.4 1227.19
46600 1801.24 121938 89291.8 -18927.7 1239.34
46700 1783.98 121747 89293.2 -18922 1227.47
46800 1797.34 121170 89294.6 -18937.4 1236.66
46900 1781.95 121482 89296 -18933 1226.07
47000 1758.75 121471 89297.5 -18923.3 1210.11
47100 1768.15 120702 89298.9 -18935.7 1216.58
47200 1797.57 119465 89300.4 -18961.9 1236.82
47300 1768.59 120031 89301.9 -18948.2 1216.88
47400 1766.82 119462 89303.4 -18953.2 1215.66
47500 1769.57 119667 89305 -18961.4 1217.55
47600 1766.44 119408 89306.5 -18965.5 1215.4
47700 1760.43 119051 89308.1 -18967.6 1211.27
47800 1724.88 119224 89309.7 -18949.2 1186.81
47900 1751.11 118569 89311.3 -18973.4 1204.85
48000 1736.12 118173 89313 -18969.3 1194.54
48100 1727.04 118680 89314.6 -18969.3 1188.29
48200 1717.04 118107 89316.3 -18968.7 1181.41
48300 1716.27 118266 89318 -18974.6 1180.88
48400 1722.39 118188 89319.7 -18985.2 1185.1
48500 1690.41 118090 89321.4 -18969.3 1163.09
48600 1693.38 117482 89323.2 -18977.3 1165.13
48700 1728.87 116284 89325 -19007.8 1189.55
48800 1687.94 117097 89326.8 -18985.6 1161.39
48900 1708.47 116517 89328.6 -19005.8 1175.52
49000 1695.43 116403 89330.4 -19003.1 1166.55
49100 1660.7 116777 89332.2 -18985.3 1142.65
49200 1682.97 115858 89334.1 -19006.7 1157.97
49300 1687.86 115658 89336 -19016.2 1161.33
49400 1658.42 115863 89337.9 -19002 1141.08
49500 1669.58 115352 89339.8 -19015.6 1148.76
49600 1661.14 114901 89341.8 -19015.8 1142.95
49700 1637.63 115945 89343.7 -19005.5 1126.77
49800 1640.25 115109 89345.7 -19013.2 1128.58
49900 1656.84 114535 89347.7 -19030.5 1139.99
50000 1662.22 113983 89349.7 -19040.1 1143.69
50100 1652.53 114388 89351.8 -19039.4 1137.03
50200 1619.74 114812 89353.8 -19022.8 1114.46
50300 1660.56 113011 89355.9 -19056.7 1142.55
50400 1635.34 113495 89358 -19045.2 1125.2
50500 1630.08 112719 89360.1 -19047.4 1121.58
50600 1634.22 112401 89362.2 -19056.1 1124.43
50700 1620.5 112615 89364.4 -19052.5 1114.99
50800 1608.46 112014 89366.5 -19050.1 1106.71
50900 1631.98 111815 89368.7 -19072.3 1122.89
51000 1622.24 111619 89370.9 -19071.7 1116.19
51100 1562.91 113201 89373.1 -19036.9 1075.36
51200 1598.74 111814 89375.4 -19067.4 1100.02
51300 1593.18 111200 89377.6 -19069.4 1096.19
51400 1584.92 111077 89379.9 -19069.5 1090.51
51500 1567.19 111296 89382.2 -19063.1 1078.31
